key,ra,dec,tyc,hip,gaia_dr1,gaia_dr2
HIP2729,8.7133416272849,-61.9161471605665,8841-652-1,2729,4901802503697737984,4901802507993393664
HIP2841,9.003705862855,-59.7172372295243,8472-1357-1,2841,4906761816535027072,4906761820830908032
HIP3203,10.1978448745371,-7.2326047460003,,3203,,
HIP3210,10.2149063648798,-53.2099162169766,8466-1187-1,3210,,4921855946520799232
HIP3277,10.4433224970372,-56.5013153671473,8469-1595-1,3277,4908315529543944064,4908315533840351360
HIP3540,11.2956736485301,0.2532868406129,11-1301-1,3540,,2549045055609126784
HIP4290,13.746959491915,24.1002708532089,1739-1235-1,4290,2804013036061330560,2804011562888218240
HIP5373,17.1904811380853,-25.8611255385441,6425-1723-1,5373,5034700233628455040,5034700237924390016
HIP5743,18.4385618493721,7.5782440730054,613-1248-1,5743,2577061260424130304,2577061260424130304
HIP6276,20.1344502729432,-11.4677023066807,5276-413-1,6276,2470272808484339200,2470272812780609280
HIP6485,20.8385620829264,-57.4807471252331,8477-5-1,6485,4909846496406798976,4909846500703006976
HIP6494,20.8577843197708,-76.6117819152159,9348-60-1,6494,4637584911745657728,4637584916037247488
HIP6856,22.0360873130801,-52.6386520846372,8474-825-1,6856,4916062035639629184,4916062039935185792
HIP6960,22.4005693057602,-21.6293378202643,5854-2047-1,6960,5043493543511861248,5043493547807985664
HIP7345,23.6574117771165,-15.6763605867978,5852-2148-1,7345,,2451838022871837312
HIP7576,24.3977784305249,-6.7604253548158,4687-325-1,7576,2478002890623968128,2477815222028038272
HIP8241,26.5260975495028,-53.5220355295189,8475-1390-1,8241,4912947565873334272,4912947570170211840
HIP8661,27.9015764413139,-2.6378398447239,4686-2423-1,8661,2504554447166816768,2504554451462345600
HIP9892,31.8252508404797,-53.1990367018197,8483-917-1,9892,4743944038749857920,4743944043046490240
HIP10786,34.7218134510336,-69.8868347163071,9144-691-1,10786,4693438178286863744,4693438182582186752
HIP11964,38.5940260150984,-43.7963532646503,7558-585-1,11964,4946938108852568448,4946938113149426944
HIP12394,39.8973393492812,-68.2669484380598,9144-1686-1,12394,4695167125961452288,4695167130257150592
HIP12413,39.9498559999036,-42.891767719057,7558-987-1,12413,,4946915263923114368
HIP12444,40.0517588592931,-9.4528711221292,5285-1109-1,12444,,5173902189571919872
HIP12787,41.0890542634106,10.9614120705907,643-73-1,12787,,22338644598132096
HIP12837,41.2545632028097,-22.16653332216,5869-890-1,12837,5125873661951657088,5125873666245425920
HIP13359,42.9707236821837,-61.6179456533822,8859-718-1,13359,4724849610584158464,4724849614880143360
HIP13847,44.5653300792445,-40.3046793515482,,13847,,5044368071869592832
HIP14007,45.0821490650075,-37.4544911441606,7025-638-1,14007,5045853095465091200,5045853099761604096
HIP14551,46.9618780526412,-27.8311511752894,6444-614-1,14551,5071668528973612032,5071668533270215040
HIP14857,47.9690774825185,-39.0232155097281,7561-638-1,14857,4852609082160352512,4852609086456829696
HIP15039,48.458994646076,-38.8093914819302,7561-793-1,15039,4854070126955502592,4854070131251743744
HIP15353,49.4961494875821,-66.9268514389809,8866-1472-1,15353,4671503814665664896,4671503818961627008
HIP15457,49.8404000201042,3.3701937216289,59-1947-1,15457,,3269362645115584640
HIP16846,54.1970432350055,0.58775908541615,,16846,,
HIP17157,55.1224423726658,-47.9251528290261,8063-295-1,17157,4833306708858124416,4833306713154584704
HIP17338,55.665850184558,-20.5454524321218,5880-75-1,17338,5088895677157608704,5088895681454956672
HIP17395,55.8909727336615,-10.4856557658474,5306-1181-1,17395,,5116018880964324096
HIP17695,56.8472550044897,-1.9722070395246,4717-704-1,17695,,3250328209054347264
HIP17764,57.0477973496483,-74.6941159045571,9159-1624-1,17764,4629074451223637632,4629074455519836032
HIP18512,59.3695788391016,-1.1594643180989,4718-32-1,18512,,3256334497479041024
HIP18714,60.1332715959568,-41.7484478336669,,18714,,
HIP19076,61.3344101515055,22.0089044315514,1262-1646-1,19076,53112939972051968,53112944270520832
HIP19183,61.673055663049,1.6839107335215,73-264-1,19183,3258856085664548608,3258856089957102720
HIP19855,63.8574464626816,6.1996525731135,80-204-1,19855,3285218251327446912,3285218255623808640
HIP19990,64.3152600276999,20.578597003332,1272-1126-1,19990,,49298394834276608
HIP20737,66.6608373088321,-28.9520189401214,6463-1240-1,20737,4891212042059001600,4891212046355683328
HIP21632,69.6830925426751,-27.033834758729,6467-702-1,21632,4891725754507903872,4891725758804030208
HIP21965,70.8216789880083,-23.6284028814407,6465-1786-1,21965,,4895013367291153536
HIP22192,71.6072899712845,-28.0874459669765,6471-474-1,22192,4880808806633950336,4880808810930787200
HIP22295,72.0215704185591,-80.7792394095046,9377-548-1,22295,4622453089122285312,4622453093418397952
HIP22506,72.6476748803118,-41.0474549566766,7589-1186-1,22506,4816691060938561920,4816691065234739328
HIP22738,73.3800350560888,-55.8603102958462,,22738,,
HIP22844,73.7209850031512,-58.547653037831,8516-1311-1,22844,,4762394397915837056
HIP22845,73.7238712846424,10.1508311758669,688-1867-1,22845,,3294429586085336960
HIP23554,75.9719662046401,-24.3881463025203,6477-1294-1,23554,,2960561059245715968
HIP24362,78.405367223362,-32.0671251467642,7048-1701-1,24362,4827392641970757760,4827392646267912064
HIP24947,80.1585346043787,-39.7549428380119,7599-832-1,24947,4819441454915310336,4819441459212276864
HIP25127,80.6780456254068,13.2290722251646,712-2416-1,25127,3389321489714045184,3389321494010977920
HIP25283,81.1257071391423,-38.9696517534358,7595-352-1,25283,4819591916209544320,4819591920506512768
HIP25544,81.9139681466151,-60.415995711059,8879-151-1,25544,4759543291250191232,4759543295545939840
HIP25627,82.1169735234515,-39.370980256025,7595-710-1,25627,4807503266899465984,4807503271195302272
HIP25709,82.3504235579892,-34.5154203529851,7063-1037-1,25709,4822948347252262144,4822948351549058304
HIP25746,82.4589246779154,-47.0763343793889,8090-1485-1,25746,4798709063662120320,4798709067958473216
HIP26395,84.2865509875372,-11.7755146593594,5354-1943-1,26395,3010113295232699264,3010113299530081664
HIP26412,84.3187518937428,-27.8714679700951,6497-768-1,26412,,2907602738096182784
HIP26990,85.8992040239458,-39.9235334588842,7601-95-1,26990,4808165825733273600,4808165830030420352
HIP27134,86.3058400689589,-59.9237829544381,8531-1453-1,27134,4759113210404644608,4759113214700934784
HIP27288,86.7389285889758,-14.8219474804032,5359-1778-1,27288,,2996171698248345984
HIP27371,86.9563248976773,-40.0636699089505,7601-666-1,27371,,4805123721874344576
HIP27441,87.1533850320977,-39.9320187151468,7601-371-1,27441,4805207967655791360,4805207971952984448
HIP28498,90.2306502958719,-54.9513409327949,8525-800-1,28498,5500304409688539392,5500304413985680768
HIP28869,91.425071471631,-61.7485813123354,8893-632-1,28869,5481272928564556160,5481272932860894720
HIP28921,91.5692301799775,-27.905828478138,6500-186-1,28921,2909947992100514816,2909947996398369920
HIP29711,93.8736393243002,-4.9147179847829,4792-2122-1,29711,3020549790883670528,3020549795181489280
HIP30034,94.8038040994631,-58.054312469614,8542-384-1,30034,5495052592399086720,5495052596695570816
HIP30252,95.4585811735164,-51.2377080959858,8114-1488-1,30252,5549230065785487488,5549230070081293824
HIP30344,95.7402940378137,-24.5560364087191,6510-1219-1,30344,2924339465436992384,2924339469735490560
HIP30729,96.8361008211283,-33.1140117923812,7078-307-1,30729,2892003927977910016,2892003932273326208
HIP31167,98.0963712641346,-5.868816717623,4810-2632-1,31167,3103325046312588288,3103325050611099008
HIP31850,99.8811780069186,24.6001638732638,1884-1337-1,31850,3383000534807547008,3383000539103328768
HIP31878,99.9584339078621,-61.4782027677795,8895-225-1,31878,5479782643632182656,5479782647926975360
HIP32075,100.523076342184,-38.003743917493,,32075,,
HIP32235,100.942690939636,-71.9764977784317,9185-714-1,32235,5265670758630806272,5265670762922792960
HIP32349,101.287155333333,-16.7161158611111,,32349,,
HIP32938,102.926755439266,-36.2302708240496,7100-2242-1,32938,,5578901662668400640
HIP33705,105.04071951944,-31.1416855856256,7089-434-1,33705,5607190340206337920,5607190344506642432
HIP34271,106.570008982459,22.6834870593765,1895-9-1,34271,3368214646035589248,3368214650329888512
HIP34782,108.017038759106,-30.8213660201108,7103-2648-1,34782,5605930162441983232,5605930166746409856
HIP35350,109.523249048833,16.5403862573309,,35350,,
HIP35564,110.089265563687,-52.3115228672755,,35564,,
HIP35567,110.095640934466,-56.2946463772678,8559-1994-1,35567,5487374840144321152,5487374844438857728
HIP35884,110.974237633801,-17.4134348809883,5970-2757-1,35884,3027656346853478400,3027656351155128704
HIP36071,111.488405766826,-2.2484673841649,4821-2280-1,36071,3061562742832655616,3061562747131020416
HIP36832,113.616735505499,-52.9681290001692,8552-91-1,36832,,5492357178301867008
HIP37288,114.845994636046,2.183665964552,183-626-1,37288,3135225417687835520,3135225421986581504
HIP37563,115.650258545179,-59.2974275676936,8564-1050-1,37563,5292834399547563520,5292834403845151488
HIP37718,116.052133381974,-50.4567259344382,8142-2481-1,37718,5493209501673364736,5493209501673364736
HIP37727,116.068649690719,-50.4666151359408,8142-2601-1,37727,5493209432953888768,5493209437253410432
HIP37879,116.462224182425,-7.5296545035274,5410-123-1,37879,3043435094626143232,3043435098923887616
HIP38188,117.372167857601,-54.9010661417404,8557-2233-1,38188,5488302518716879360,5488302523016369152
HIP40706,124.638807230903,-36.6592954741933,7134-2967-1,40706,,5541379930719256960
HIP40916,125.251915207189,-52.2279688952303,8161-417-1,40916,5320716330800777984,5320716335102626048
HIP41081,125.729827089304,-52.1237288396008,8161-1768-1,41081,,5322206718812246656
HIP41373,126.605022680331,-52.8074961089022,8567-2364-1,41373,5321368856594220160,5321368860896990720
HIP41889,128.127207934207,15.8239534180831,1392-2634-1,41889,,657903507014610048
HIP42172,128.962405658482,6.6202169253226,222-1709-1,42172,594989344298318336,594989348593414016
HIP42806,130.821445581938,21.4685031647649,1399-2905-1,42806,,664950414475977728
HIP42808,130.825126668911,-38.8823805626667,7675-3469-1,42808,5528866835560139520,5528866839863569024
HIP43290,132.273706717922,-39.954388509688,7679-30-1,43290,5525780368982285952,5525780373285137792
HIP43771,133.738512090409,-24.3942890600095,6576-135-1,43771,5653012624732870528,5653012624732870528
HIP43970,134.312292155406,15.3227694443928,1394-2122-1,43970,610526714908387840,610526719204475136
HIP44001,134.396663617123,15.5812860567872,1394-2121-1,44001,,610549499710989440
HIP44526,136.086225407872,-15.9142494691078,6027-1246-1,44526,5730445318802591104,5730445323098531456
HIP45238,138.299906083102,-69.7172075972155,9200-2603-1,45238,,
HIP45950,140.573816106993,6.2975975390357,234-1815-1,45950,585910986028463744,585910990320157824
HIP46422,141.989947220861,-66.1022994890369,8953-1216-1,46422,5247652030790329984,5247652035090448000
HIP46634,142.645829154136,10.5999507527082,823-1352-1,46634,,589720969909458176
HIP46816,143.106535032968,-11.1846353918718,5464-875-1,46816,5739942006889651584,5739942011185493888
HIP47681,145.834483301961,-29.8040077225206,6614-1105-1,47681,5632522022960701184,5632522783170253440
HIP48273,147.625342197535,4.3436489007987,240-1806-1,48273,3849562729090407296,3849562733385577216
HIP48341,147.808463206742,-4.2433468510938,4899-1904-1,48341,,3822906517079376000
HIP49165,150.501778685318,-34.1735659801416,7177-2007-1,49165,5459488820080196992,5459488824377831552
HIP50191,153.683991343298,-42.1219403277743,7716-3704-1,50191,,5416916936742353280
HIP50534,154.817840723675,-11.3785122430415,5493-1221-1,50534,3767320083967846656,3767319332347773184
HIP50693,155.283160031589,-17.9849557460405,6064-605-1,50693,5669733550891475072,5669733555187365504
HIP51907,159.072447196935,-10.5834045458435,5495-1225-1,51907,3761641656164856320,3761641660460266240
HIP52787,161.879809636768,-22.3480318720414,6081-65-1,52787,3550081875086026496,3550081879381593728
HIP53217,163.268894894303,-20.6282062158691,6082-981-1,53217,,3550762648877966336
HIP53524,164.26259005384,-68.6673463539689,9212-4675-1,53524,5231963958365132672,5231963962676292224
HIP53771,165.034489704932,-51.817801633441,8211-2376-1,53771,5359955048938362112,5359955053246566144
HIP53954,165.582400607782,20.1798437214473,1436-1306-1,53954,,3985219996984723712
HIP54155,166.172801415948,-4.2210880818757,4924-1114-1,54155,,3789271459953459328
HIP54477,167.183295942734,-28.0806521480287,6644-1332-1,54477,,3532027383058513664
HIP55130,169.300029819531,-38.0143658457713,7726-963-1,55130,5397046111628224384,5397046115926029056
HIP55487,170.45766281649,-24.1897673745231,6650-910-1,55487,3534658784964869888,3534658789261176064
HIP55943,171.980516650205,11.0100123036357,859-819-1,55943,3915558646804700288,3915558646804700288
HIP56367,173.319929688892,-3.4022964955106,4933-773-1,56367,3792415818395273088,3792415822690670720
HIP56379,173.356002024218,-70.1947887064225,9229-2446-1,56379,5233604910752167936,5233604915060520576
HIP56445,173.591452600239,3.0601647626383,274-1078-1,56445,,3800758057928927872
HIP57013,175.332464916087,-43.0956644502906,7749-1616-1,57013,,5379417096244434176
HIP57207,175.957436204294,-35.2479961495727,7225-492-1,57207,3464832134378725504,3464832138675486464
HIP57460,176.676475339215,-19.4697641130159,6096-329-1,57460,3543404163014331264,3543404167309462272
HIP57562,176.978733835501,8.2458945459772,864-1210-1,57562,,3911696135471737600
HIP57632,177.26490975591,14.5720580648297,870-988-1,57632,,
HIP58167,178.93144806468,-54.1806907733517,8631-1431-1,58167,5344333496978434688,5344333501282921216
HIP58180,178.987837910721,-77.0084078920162,9415-343-1,58180,5224357124607404544,5224357128908105728
HIP58240,179.176293232679,-32.2681565656641,7222-1584-1,58240,3466924195770080896,3466924200065405184
HIP58241,179.182410000539,-32.2674144568426,7222-1583-1,58241,3466924195770080768,3466924200065405824
HIP58465,179.848897018194,-57.1679860623519,8639-313-1,58465,5343524943605028480,5343524947923387520
HIP58528,180.039192359553,-57.1172209228811,8640-3442-1,58528,,6075374902576831616
HIP58720,180.657052508809,-69.1922869590415,9227-2681-1,58720,,5859187277060333184
HIP59282,182.411606650987,-58.3496551053557,8644-420-1,59282,,6071348491003883136
HIP59315,182.526963818619,-49.1807380265519,8237-230-1,59315,,6129861025173869696
HIP59394,182.765999476934,-23.6024228145312,6668-993-1,59394,,3489853930946424704
HIP59397,182.774462708139,-56.4013558802738,8640-291-1,59397,,6072504073402829056
HIP59413,182.811721993308,-52.2175515182122,8241-164-1,59413,,6125358151409872256
HIP59481,182.995116619681,-50.7701448382884,8242-3131-1,59481,,6126298474370909696
HIP59724,183.734835070209,-47.948495391439,8234-908-1,59724,,6130345536147985024
HIP59726,183.739167343874,-41.1394195577168,7760-741-1,59726,,6148487203123069056
HIP59898,184.276288801671,-65.6929587125176,8986-4286-1,59898,5860789295542940800,5860789299912353024
HIP59960,184.471630956904,-55.9755251196844,8637-2434-1,59960,,6072902994276659200
HIP60183,185.117585827054,-65.8426584891626,8987-40-1,60183,,5860587917472173056
HIP60459,185.925819579006,-63.8700800677673,8983-1126-1,60459,,6053693083047384576
HIP60595,186.299019502771,-11.6105885955023,5529-1713-1,60595,,3576836467618497152
HIP61049,187.69281202134,-58.1879948996291,8658-70-1,61049,,6059507987719518976
HIP61087,187.802674768308,-61.9087475602493,8979-2941-1,61087,,6054752668651631872
HIP61468,188.939718076635,-41.0219504321404,7762-1974-1,61468,,6146899611411058304
