,S_Type,Distance_distance,FLUX_I,FLUX_H,Fe_H_Teff,Class,subtype,Mbol,Lum,Teff,Mass
172,F5VFe+0.4,,,5.127999782562256,6534,F,5,3.7199999999999998,2.558585886905647,6545.0,1.1949999999999998
173,A3V,55.4093,,5.5349998474121085,7825,A,3,1.795,15.066070661867425,8830.0,1.865
174,F8V,31.1944,,5.515999794006348,6129,F,8,4.12,1.7701089583174212,6150.0,1.09
175,K0V(e),95.6489,9.210000038146973,7.89300012588501,5206,K,0,5.31,0.5915616341754742,5200.0,0.781
176,G9V,18.3602,5.989999771118164,5.0970001220703125,5326,G,9,5.199999999999999,0.6546361740672755,5285.0,0.8049999999999999
177,F5.5VFe-0.7CH-0.4,38.1233,,5.526000022888184,6503,F,5,3.7199999999999998,2.558585886905647,6545.0,1.1949999999999998
178,K2V,63.7999,9.013999938964844,7.8309998512268075,4938,K,2,5.62,0.4446312674691087,4930.0,0.738
179,G0V,43.1941,,6.708000183105469,5698,G,0,4.33,1.4588142602753487,5950.0,1.04
180,A8III/IV,47.423,,5.459000110626222,7372,A,8,2.61,7.112135136533293,7800.0,1.53
181,A4IV,28.1901,,3.5,8395,A,4,1.95,13.061708881318419,8620.0,1.79
183,F9V,36.649,8.680000305175781,5.260000228881836,0,F,9,4.225,1.6069412530128782,6050.0,1.065
184,A1V,72.2032,,6.394000053405763,0,A,1,1.44,20.892961308540407,9370.0,2.005
186,F7V,36.5938,,5.690999984741211,6287,F,7,3.99,1.9952623149688797,6275.0,1.125
187,G1V,33.9252,,5.73199987411499,6164,G,1,4.4350000000000005,1.3243415351946644,5860.0,1.013
188,F7V,53.3703,,6.508999824523926,6179,F,7,3.99,1.9952623149688797,6275.0,1.125
189,G3V,21.7704,5.945000171661378,5.252999782562256,5768,G,3,4.625,1.1117317272815914,5705.0,0.9595
190,G7V(e),27.7282,,5.797999858856201,5471,G,7,4.995,0.7906786279998251,5440.0,0.854
191,G8Vk,36.4861,,6.578000068664551,5408,G,8,5.09,0.7244359600749902,5370.0,0.829
192,G5,53.4334,,7.327000141143799,0,G,5,4.805,0.9418895965228418,5575.0,0.906
193,M0.0Ve,15.0578,7.776999950408935,6.0920000076293945,3940,M,0,7.55,0.07516228940182057,3700.0,0.454
194,G6IV/V,124.7723,,7.949999809265138,0,G,6,4.9,0.8629785477669701,5510.0,0.879
195,G3V,32.9118,,5.86299991607666,5860,G,3,4.625,1.1117317272815914,5705.0,0.9595
196,F9VFe-0.5,30.0843,,5.441999912261963,6220,F,9,4.225,1.6069412530128782,6050.0,1.065
197,G5V,30.0801,,6.026999950408936,5703,G,5,4.805,0.9418895965228418,5575.0,0.906
198,M4.0Ve,5.9874,8.262999534606934,6.005000114440918,3242,M,4,10.14,0.006918309709189363,3100.0,0.124
199,F5V,58.2343,,6.152999877929688,6157,F,5,3.7199999999999998,2.558585886905647,6545.0,1.1949999999999998
200,K0IV-V(k),33.8056,,6.495999813079834,5250,K,0,5.31,0.5915616341754742,5200.0,0.781
200,K0IV-V(k),33.8056,,6.495999813079834,5250,K,0,5.31,0.5915616341754742,5200.0,0.781
201,F4V,33.7667,,4.859000205993652,6702,F,4,3.58,2.910717118066606,6690.0,1.23
202,F6/7V,80.6569,,7.290999889373778,6392,F,6,3.86,2.2490546058357817,6400.0,1.16
203,K8V,,,,4521,K,8,6.88,0.13931568029453034,3990.0,0.585
204,F3/5+F6/7,80.1468,,7.396999835968018,0,F,3,3.425,3.3573761424295476,6865.0,1.27
205,A8V,28.4125,4.110000133514403,4.0869998931884775,7790,A,8,2.61,7.112135136533293,7800.0,1.53
206,A0/1V,72.7135,,6.308000087738037,0,A,0,1.24,25.11886431509581,9700.0,2.07
207,G1/2V,59.2828,7.999000072479247,7.276000022888184,5960,G,1,4.4350000000000005,1.3243415351946644,5860.0,1.013
208,A0V,73.2488,,5.870999813079834,9772,A,0,1.24,25.11886431509581,9700.0,2.07
209,G1IV,66.9797,,6.420000076293945,6023,G,1,4.4350000000000005,1.3243415351946644,5860.0,1.013
210,A0V,69.3342,,5.90500020980835,9134,A,0,1.24,25.11886431509581,9700.0,2.07
211,K8V,35.5634,,7.4559998512268075,0,K,8,6.88,0.13931568029453034,3990.0,0.585
212,G5V,45.4358,,6.771999835968018,5796,G,5,4.805,0.9418895965228418,5575.0,0.906
213,F8V,26.2801,5.400000095367432,4.760000228881836,6392,F,8,4.12,1.7701089583174212,6150.0,1.09
214,G8/K0(IV),24.3417,6.02899980545044,5.317999839782715,5848,G,8,5.09,0.7244359600749902,5370.0,0.829
215,B8V,99.5599,,5.7210001945495605,12487,B,8,-0.1,86.29785477669702,12000.0,2.84
216,A1IV,50.8864,4.639999866485597,4.788000106811523,9311,A,1,1.44,20.892961308540407,9370.0,2.005
